I,CO2EII,PUBLISHING,1,STATIONNAME,DUID,GENSETID,REGIONID,CO2E_EMISSIONS_FACTOR,CO2E_ENERGY_SOURCE,CO2E_DATA_SOURCE
D,CO2EII,PUBLISHING,1,Amcor Glass Gawler Plant,AMCORGR,AMCORGR3,SA1,0.909,Diesel oil,NTNDP
D,CO2EII,PUBLISHING,1,Southbank Institute Of Technology Unit 1 Plant,STHBKTEC,STHBKTEC,QLD1,0.909,Diesel oil,NTNDP
D,CO2EII,PUBLISHING,1,Millmerran Power Plant,MPP_1,MPP_1,QLD1,0.902,Black coal,NTNDP
D,CO2EII,PUBLISHING,1,Millmerran Power Plant,MPP_2,MPP_2,QLD1,0.902,Black coal,NTNDP
D,CO2EII,PUBLISHING,1,Mt Stuart Power Station,MSTUART1,MSTUART1,QLD1,0.9,Kerosene - non aviation,NTNDP
D,CO2EII,PUBLISHING,1,Mt Stuart Power Station,MSTUART2,MSTUART2,QLD1,0.9,Kerosene - non aviation,NTNDP
D,CO2EII,PUBLISHING,1,Mt Stuart Power Station,MSTUART3,MSTUART3,QLD1,0.9,Kerosene - non aviation,NTNDP
D,CO2EII,PUBLISHING,1,Mintaro Gas Turbine Station,MINTARO,MINTARO,SA1,0.899,Natural Gas (Pipeline),NTNDP
D,CO2EII,PUBLISHING,1,Mintaro Gas Turbine Station,MINTNL1,MINTNL1,SA1,0.899,Natural Gas (Pipeline),NTNDP
D,CO2EII,PUBLISHING,1,"Jeeralang ""A"" Power Station",JLA01,JLA01,VIC1,0.898,Natural Gas (Pipeline),NTNDP
D,CO2EII,PUBLISHING,1,"Jeeralang ""A"" Power Station",JLA02,JLA02,VIC1,0.898,Natural Gas (Pipeline),NTNDP
D,CO2EII,PUBLISHING,1,"Jeeralang ""A"" Power Station",JLA01,JLA03,VIC1,0.898,Natural Gas (Pipeline),NTNDP
D,CO2EII,PUBLISHING,1,"Jeeralang ""A"" Power Station",JLA01,JLA04,VIC1,0.898,Natural Gas (Pipeline),NTNDP
D,CO2EII,PUBLISHING,1,"Jeeralang ""B"" Power Station",JLB01,JLB01,VIC1,0.898,Natural Gas (Pipeline),NTNDP
D,CO2EII,PUBLISHING,1,"Jeeralang ""B"" Power Station",JLB02,JLB02,VIC1,0.898,Natural Gas (Pipeline),NTNDP
D,CO2EII,PUBLISHING,1,"Jeeralang ""B"" Power Station",JLB03,JLB03,VIC1,0.898,Natural Gas (Pipeline),NTNDP
D,CO2EII,PUBLISHING,1,Tarong North Power Station,TNPS1,TNPS1,QLD1,0.864,Black coal,NTNDP
D,CO2EII,PUBLISHING,1,Somerton Power Station,AGLSOM,AGLSOM,VIC1,0.857,Natural Gas (Pipeline),NTNDP
D,CO2EII,PUBLISHING,1,Valley Power Peaking Facility,VPGS,VPGS,VIC1,0.857,Natural Gas (Pipeline),NTNDP
D,CO2EII,PUBLISHING,1,Ladbroke Grove Power Station,LADBROK1,LADBROK1,SA1,0.839,Natural Gas (Pipeline),NTNDP
D,CO2EII,PUBLISHING,1,Ladbroke Grove Power Station,LADBROK2,LADBROK2,SA1,0.839,Natural Gas (Pipeline),NTNDP
D,CO2EII,PUBLISHING,1,TORRENS ISLAND POWER STATION,TORRB1,TORRB1,SA1,0.839,Natural Gas (Pipeline),NTNDP
D,CO2EII,PUBLISHING,1,TORRENS ISLAND POWER STATION,TORRB2,TORRB2,SA1,0.839,Natural Gas (Pipeline),NTNDP
D,CO2EII,PUBLISHING,1,TORRENS ISLAND POWER STATION,TORRB3,TORRB3,SA1,0.839,Natural Gas (Pipeline),NTNDP
D,CO2EII,PUBLISHING,1,TORRENS ISLAND POWER STATION,TORRB4,TORRB4,SA1,0.839,Natural Gas (Pipeline),NTNDP
D,CO2EII,PUBLISHING,1,Broken Hill Gas Turbines,GB01,GB01,NSW1,0.813,Natural Gas (Pipeline),NTNDP
D,CO2EII,PUBLISHING,1,Quarantine Power Station,QPS1,QPS1,SA1,0.786,Natural Gas (Pipeline),NTNDP
D,CO2EII,PUBLISHING,1,Quarantine Power Station,QPS2,QPS2,SA1,0.786,Natural Gas (Pipeline),NTNDP
D,CO2EII,PUBLISHING,1,Quarantine Power Station,QPS3,QPS3,SA1,0.786,Natural Gas (Pipeline),NTNDP
D,CO2EII,PUBLISHING,1,Quarantine Power Station,QPS4,QPS4,SA1,0.786,Natural Gas (Pipeline),NTNDP
D,CO2EII,PUBLISHING,1,Quarantine Power Station,QPS5,QPS5,SA1,0.786,Natural Gas (Pipeline),NTNDP
D,CO2EII,PUBLISHING,1,Daandine Power Station,DAANDINE,DAANDINE,QLD1,0.785,Coal seam methane,NTNDP
D,CO2EII,PUBLISHING,1,Moranbah Generation Project,MORANBAH,MORANBAH,QLD1,0.785,Coal seam methane,NTNDP
D,CO2EII,PUBLISHING,1,Colongra Power Station,CG1,CG1,NSW1,0.737,Natural Gas (Pipeline),NTNDP
D,CO2EII,PUBLISHING,1,Colongra Power Station,CG2,CG2,NSW1,0.737,Natural Gas (Pipeline),NTNDP
D,CO2EII,PUBLISHING,1,Colongra Power Station,CG3,CG3,NSW1,0.737,Natural Gas (Pipeline),NTNDP
D,CO2EII,PUBLISHING,1,Colongra Power Station,CG4,CG4,NSW1,0.737,Natural Gas (Pipeline),NTNDP
D,CO2EII,PUBLISHING,1,Uranquinty Power Station,URANQ11,URANQ11,NSW1,0.737,Natural Gas (Pipeline),NTNDP
D,CO2EII,PUBLISHING,1,Uranquinty Power Station,URANQ12,URANQ12,NSW1,0.737,Natural Gas (Pipeline),NTNDP
D,CO2EII,PUBLISHING,1,Uranquinty Power Station,URANQ13,URANQ13,NSW1,0.737,Natural Gas (Pipeline),NTNDP
D,CO2EII,PUBLISHING,1,Uranquinty Power Station,URANQ14,URANQ14,NSW1,0.737,Natural Gas (Pipeline),NTNDP
D,CO2EII,PUBLISHING,1,Ballarat Base Hospital Plant,BBASEHOS,BBASEHOS,VIC1,0.709,Natural Gas (Pipeline),NTNDP
D,CO2EII,PUBLISHING,1,Bell Bay Three Power Station,BBTHREE1,BBTHREE1,TAS1,0.709,Natural Gas (Pipeline),NTNDP
