plant_id,company_id,TYPE,CAPACITY,name,carbon_2000,carbon_2007,carbon_nextdecade,energy_2000,energy_2007,energy_nextdecade,intensity_2000,intensity_2007,intensity_nextdecade,perc_cap,country,iso3,state,city_name,latitude,longitude
32910,ATCO POWER AUSTRALIA,Gas Turbine,180,OSBORNE COGEN,223718,243409,252830,488046,527258,545101,917,923,928,25.659865,Australia,AUS,South Australia,North Haven,-31.63333,152.8167
42058,SMITHFIELD POWER PARTNERSHIP,Gas turbine,176,SMITHFIELD COGEN,219070,237023,244465,479320,515191,529254,914,920,924,25.64246581,Australia,AUS,New South Wales,Smithfield,-28.8,151.0333
42558,ORIGIN ENERGY LTD,0,0,SOUTH WEST COGEN,256625,279972,290872,451824,496320,517195,1136,1128,1125,0,Australia,AUS,Western Australia,Worsley,-33.3,116
7938,POWER AND WATER CORP,0,0,CHANNEL ISLAND,214692,233106,243245,428884,464674,483817,1001,1003,1006,0,Australia,AUS,Northern Territory,Darwin,-12.43,130.85
36941,HYDRO TASMANIA,0,0,REECE,0,0,0,486647,450109,450109,0,0,0,0,Australia,AUS,Tasmania,Corinna,-41.65,145.0833
31057,ALINTA ENERGY,0,0,NEWMAN PILBARA,199975,216693,223969,345239,376474,390127,1158,1151,1148,0,Australia,AUS,Western Australia,Newman,-23.36667,119.7333
10150,HAMERSLEY IRON PTY LTD,0,0,DAMPIER,201839,216443,219872,348711,376005,382434,1158,1151,1150,Oceania,Australia,AUS,Western Australia,Dampier,-20.67,116.7
10261,AGL HYDRO,0,0,DARTMOUTH VICTORIA,0,0,0,378877,350431,350431,0,0,0,Oceania,Australia,AUS,Victoria,Dartmouth,-36.56667,147.5833
23507,INTERNATIONAL POWER AUSTRALIA,0,0,KWINANA REFINERY,152904,165701,171291,323548,348338,358610,945,951,955,Oceania,Australia,AUS,Western Australia,Kwinana,-32.25,115.77
5544,NEWGEN POWER PTY LTD,Gas turbine,1023,BRAEMAR,0,193735,611721,0,333634,1153227,0,1161,1061,Oceania,Australia,AUS,Queensland,Dalby,-27.19,151.26
29967,ANACONDA NICKEL LTD,0,0,MURRIN MURRIN,176975,191844,197924,302609,330122,341423,1170,1162,1159,Oceania,Australia,AUS,Western Australia,Leonora,-28.88,121.32
21752,BLUESCOPE STEEL LTD,0,0,KEMBLA STEEL WORKS,110902,119522,120816,304793,327929,331400,728,729,729,Oceania,Australia,AUS,New South Wales,Port Kembla,-34.46667,150.9
41366,ERARING ENERGY,0,0,SHOALHAVEN KANGAROO,0,0,0,336780,311494,311494,0,0,0,Oceania,Australia,AUS,New South Wales,Nowra,-34.88334,150.6
32016,OAKEY POWER HOLDINGS PTY LTD,Gas Turbine,282,OAKEY,153809,179459,205880,260108,307192,356249,1183,1168,1156,Oceania,Australia,AUS,Queensland,Oakey,-27.43333,151.7167
47664,SNOWY HYDRO LTD,Gas Turbine,300,VALLEY POWER,0,178000,211291,0,304500,366360,0,1169,1153,Oceania,Australia,AUS,Victoria,Traralgon,-38.18333,146.5333
23506,ALCOA OF AUSTRALIA,0,0,KWINANA ALUMINA,166332,177898,429326,283024,304312,787131,1175,1169,1091,Oceania,Australia,AUS,Western Australia,Kwinana,-32.23,115.76
20464,HYDRO TASMANIA,0,0,JOHN BUTTERS,0,0,0,303102,280345,280345,0,0,0,Oceania,Australia,AUS,Tasmania,Queenstown,-42.08333,145.55
9363,ROYAL DUTCH SHELL PLC,0,0,CORIO REFINERY,89386,96388,97551,246857,265743,268877,724,725,726,Oceania,Australia,AUS,Victoria,Geelong,-38.14,144.32
27426,AUSTRALIAN PAPER LTD,0,0,MARYVALE MILL,141490,151782,154140,237709,256414,260713,1190,1184,1182,Oceania,Australia,AUS,Victoria,Maryvale,0,0
46594,HYDRO TASMANIA,0,0,TUNGATINAH,0,0,0,263109,243355,243355,0,0,0,Oceania,Australia,AUS,Tasmania,0,0,0
21356,WOODSIDE PETROLEUM LTD,0,0,KARRATHA,71329,141703,155016,113547,238095,262311,1256,1190,1182,Oceania,Australia,AUS,Western Australia,Karratha,-20.88,116.67
11931,AGL HYDRO,0,0,EILDON,0,0,0,252585,233621,233621,0,0,0,Oceania,Australia,AUS,Victoria,Eildon,-37.23333,145.9167
27760,AGL HYDRO,0,0,MCKAY CREEK,0,0,0,252585,233621,233621,0,0,0,Oceania,Australia,AUS,Victoria,Howmans Gap,0,0
16629,TRUENERGY LTD,Gas Turbine,180,HALLETT,0,134380,299215,0,224850,533214,0,1195,1122,Oceania,Australia,AUS,South Australia,Hallett,-33.4,138.8833
